DATE,Year,Quarter,QuarterNum,GDPchange
04/01/1947,1947,Q2,2,-0.4
07/01/1947,1947,Q3,3,-0.4
10/01/1947,1947,Q4,4,6.4
01/01/1948,1948,Q1,1,6
04/01/1948,1948,Q2,2,6.7
07/01/1948,1948,Q3,3,2.3
10/01/1948,1948,Q4,4,0.4
01/01/1949,1949,Q1,1,-5.4
04/01/1949,1949,Q2,2,-1.3
07/01/1949,1949,Q3,3,4.5
10/01/1949,1949,Q4,4,-3.5
01/01/1950,1950,Q1,1,16.9
04/01/1950,1950,Q2,2,12.7
07/01/1950,1950,Q3,3,16.3
10/01/1950,1950,Q4,4,8
01/01/1951,1951,Q1,1,5.6
04/01/1951,1951,Q2,2,7.1
07/01/1951,1951,Q3,3,8.5
10/01/1951,1951,Q4,4,0.9
01/01/1952,1952,Q1,1,4.3
04/01/1952,1952,Q2,2,0.8
07/01/1952,1952,Q3,3,2.9
10/01/1952,1952,Q4,4,13.8
01/01/1953,1953,Q1,1,7.7
04/01/1953,1953,Q2,2,3.2
07/01/1953,1953,Q3,3,-2.2
10/01/1953,1953,Q4,4,-5.9
01/01/1954,1954,Q1,1,-1.8
04/01/1954,1954,Q2,2,0.4
07/01/1954,1954,Q3,3,4.6
10/01/1954,1954,Q4,4,8
01/01/1955,1955,Q1,1,11.9
04/01/1955,1955,Q2,2,6.7
07/01/1955,1955,Q3,3,5.5
10/01/1955,1955,Q4,4,2.4
01/01/1956,1956,Q1,1,-1.5
04/01/1956,1956,Q2,2,3.4
07/01/1956,1956,Q3,3,-0.3
10/01/1956,1956,Q4,4,6.7
01/01/1957,1957,Q1,1,2.6
04/01/1957,1957,Q2,2,-0.9
07/01/1957,1957,Q3,3,4
10/01/1957,1957,Q4,4,-4
01/01/1958,1958,Q1,1,-10
04/01/1958,1958,Q2,2,2.6
07/01/1958,1958,Q3,3,9.6
10/01/1958,1958,Q4,4,9.7
01/01/1959,1959,Q1,1,7.7
04/01/1959,1959,Q2,2,10.1
07/01/1959,1959,Q3,3,-0.8
10/01/1959,1959,Q4,4,1.6
01/01/1960,1960,Q1,1,9.2
04/01/1960,1960,Q2,2,-1.5
07/01/1960,1960,Q3,3,1
10/01/1960,1960,Q4,4,-4.8
01/01/1961,1961,Q1,1,2.7
04/01/1961,1961,Q2,2,7.6
07/01/1961,1961,Q3,3,6.8
10/01/1961,1961,Q4,4,8.3
01/01/1962,1962,Q1,1,7.4
04/01/1962,1962,Q2,2,4.4
07/01/1962,1962,Q3,3,3.9
10/01/1962,1962,Q4,4,1.6
01/01/1963,1963,Q1,1,4.5
04/01/1963,1963,Q2,2,5.3
07/01/1963,1963,Q3,3,8
10/01/1963,1963,Q4,4,2.9
01/01/1964,1964,Q1,1,8.9
04/01/1964,1964,Q2,2,4.8
07/01/1964,1964,Q3,3,5.5
10/01/1964,1964,Q4,4,1.4
01/01/1965,1965,Q1,1,10.2
04/01/1965,1965,Q2,2,5.6
07/01/1965,1965,Q3,3,8.4
10/01/1965,1965,Q4,4,9.8
01/01/1966,1966,Q1,1,10.2
04/01/1966,1966,Q2,2,1.6
07/01/1966,1966,Q3,3,2.9
10/01/1966,1966,Q4,4,3.5
01/01/1967,1967,Q1,1,3.7
04/01/1967,1967,Q2,2,0.3
07/01/1967,1967,Q3,3,3.5
10/01/1967,1967,Q4,4,3.2
01/01/1968,1968,Q1,1,8.4
04/01/1968,1968,Q2,2,6.9
07/01/1968,1968,Q3,3,2.9
10/01/1968,1968,Q4,4,1.8
01/01/1969,1969,Q1,1,6.4
04/01/1969,1969,Q2,2,1.3
07/01/1969,1969,Q3,3,2.5
10/01/1969,1969,Q4,4,-1.7
01/01/1970,1970,Q1,1,-0.7
04/01/1970,1970,Q2,2,0.7
07/01/1970,1970,Q3,3,3.6
10/01/1970,1970,Q4,4,-4
01/01/1971,1971,Q1,1,11.1
04/01/1971,1971,Q2,2,2.3
07/01/1971,1971,Q3,3,3.2
10/01/1971,1971,Q4,4,1.2
01/01/1972,1972,Q1,1,7.4
04/01/1972,1972,Q2,2,9.6
07/01/1972,1972,Q3,3,3.7
10/01/1972,1972,Q4,4,6.8
01/01/1973,1973,Q1,1,10.2
04/01/1973,1973,Q2,2,4.6
07/01/1973,1973,Q3,3,-2.2
10/01/1973,1973,Q4,4,3.8
01/01/1974,1974,Q1,1,-3.3
04/01/1974,1974,Q2,2,1.1
07/01/1974,1974,Q3,3,-3.8
10/01/1974,1974,Q4,4,-1.6
01/01/1975,1975,Q1,1,-4.7
04/01/1975,1975,Q2,2,3.1
07/01/1975,1975,Q3,3,6.8
10/01/1975,1975,Q4,4,5.5
01/01/1976,1976,Q1,1,9.3
04/01/1976,1976,Q2,2,3.1
07/01/1976,1976,Q3,3,2.1
10/01/1976,1976,Q4,4,3
01/01/1977,1977,Q1,1,4.7
04/01/1977,1977,Q2,2,8.1
07/01/1977,1977,Q3,3,7.3
10/01/1977,1977,Q4,4,0
01/01/1978,1978,Q1,1,1.4
04/01/1978,1978,Q2,2,16.5
07/01/1978,1978,Q3,3,4
10/01/1978,1978,Q4,4,5.5
01/01/1979,1979,Q1,1,0.8
04/01/1979,1979,Q2,2,0.5
07/01/1979,1979,Q3,3,2.9
10/01/1979,1979,Q4,4,1
01/01/1980,1980,Q1,1,1.3
04/01/1980,1980,Q2,2,-7.9
07/01/1980,1980,Q3,3,-0.6
10/01/1980,1980,Q4,4,7.6
01/01/1981,1981,Q1,1,8.5
04/01/1981,1981,Q2,2,-2.9
07/01/1981,1981,Q3,3,4.7
10/01/1981,1981,Q4,4,-4.6
01/01/1982,1982,Q1,1,-6.5
04/01/1982,1982,Q2,2,2.2
07/01/1982,1982,Q3,3,-1.4
10/01/1982,1982,Q4,4,0.4
01/01/1983,1983,Q1,1,5.3
04/01/1983,1983,Q2,2,9.4
07/01/1983,1983,Q3,3,8.1
10/01/1983,1983,Q4,4,8.5
01/01/1984,1984,Q1,1,8.2
04/01/1984,1984,Q2,2,7.2
07/01/1984,1984,Q3,3,4
10/01/1984,1984,Q4,4,3.2
01/01/1985,1985,Q1,1,4
04/01/1985,1985,Q2,2,3.7
07/01/1985,1985,Q3,3,6.4
10/01/1985,1985,Q4,4,3
01/01/1986,1986,Q1,1,3.8
04/01/1986,1986,Q2,2,1.9
07/01/1986,1986,Q3,3,4.1
10/01/1986,1986,Q4,4,2.1
01/01/1987,1987,Q1,1,2.8
04/01/1987,1987,Q2,2,4.6
07/01/1987,1987,Q3,3,3.7
10/01/1987,1987,Q4,4,6.8
01/01/1988,1988,Q1,1,2.3
04/01/1988,1988,Q2,2,5.4
07/01/1988,1988,Q3,3,2.3
10/01/1988,1988,Q4,4,5.4
01/01/1989,1989,Q1,1,4.1
04/01/1989,1989,Q2,2,3.2
07/01/1989,1989,Q3,3,3
10/01/1989,1989,Q4,4,0.9
01/01/1990,1990,Q1,1,4.5
04/01/1990,1990,Q2,2,1.6
07/01/1990,1990,Q3,3,0.1
10/01/1990,1990,Q4,4,-3.4
01/01/1991,1991,Q1,1,-1.9
04/01/1991,1991,Q2,2,3.1
07/01/1991,1991,Q3,3,1.9
10/01/1991,1991,Q4,4,1.8
01/01/1992,1992,Q1,1,4.8
04/01/1992,1992,Q2,2,4.5
07/01/1992,1992,Q3,3,3.9
10/01/1992,1992,Q4,4,4.1
01/01/1993,1993,Q1,1,0.8
04/01/1993,1993,Q2,2,2.4
07/01/1993,1993,Q3,3,2
10/01/1993,1993,Q4,4,5.4
01/01/1994,1994,Q1,1,4
04/01/1994,1994,Q2,2,5.6
07/01/1994,1994,Q3,3,2.4
10/01/1994,1994,Q4,4,4.6
01/01/1995,1995,Q1,1,1.4
04/01/1995,1995,Q2,2,1.4
07/01/1995,1995,Q3,3,3.5
10/01/1995,1995,Q4,4,2.9
01/01/1996,1996,Q1,1,2.7
04/01/1996,1996,Q2,2,7.2
07/01/1996,1996,Q3,3,3.7
10/01/1996,1996,Q4,4,4.3
01/01/1997,1997,Q1,1,3.1
04/01/1997,1997,Q2,2,6.2
07/01/1997,1997,Q3,3,5.2
10/01/1997,1997,Q4,4,3.1
01/01/1998,1998,Q1,1,4
04/01/1998,1998,Q2,2,3.9
07/01/1998,1998,Q3,3,5.3
10/01/1998,1998,Q4,4,6.7
01/01/1999,1999,Q1,1,3.2
04/01/1999,1999,Q2,2,3.3
07/01/1999,1999,Q3,3,5.1
10/01/1999,1999,Q4,4,7.1
01/01/2000,2000,Q1,1,1.2
04/01/2000,2000,Q2,2,7.8
07/01/2000,2000,Q3,3,0.5
10/01/2000,2000,Q4,4,2.3
01/01/2001,2001,Q1,1,-1.1
04/01/2001,2001,Q2,2,2.1
07/01/2001,2001,Q3,3,-1.3
10/01/2001,2001,Q4,4,1.1
01/01/2002,2002,Q1,1,3.7
04/01/2002,2002,Q2,2,2.2
07/01/2002,2002,Q3,3,2
10/01/2002,2002,Q4,4,0.3
01/01/2003,2003,Q1,1,2.1
04/01/2003,2003,Q2,2,3.8
07/01/2003,2003,Q3,3,6.9
10/01/2003,2003,Q4,4,4.8
01/01/2004,2004,Q1,1,2.3
04/01/2004,2004,Q2,2,3
07/01/2004,2004,Q3,3,3.7
10/01/2004,2004,Q4,4,3.5
01/01/2005,2005,Q1,1,4.3
04/01/2005,2005,Q2,2,2.1
07/01/2005,2005,Q3,3,3.4
10/01/2005,2005,Q4,4,2.3
01/01/2006,2006,Q1,1,4.9
04/01/2006,2006,Q2,2,1.2
07/01/2006,2006,Q3,3,0.4
10/01/2006,2006,Q4,4,3.2
01/01/2007,2007,Q1,1,0.2
04/01/2007,2007,Q2,2,3.1
07/01/2007,2007,Q3,3,2.7
10/01/2007,2007,Q4,4,1.4
01/01/2008,2008,Q1,1,-2.7
04/01/2008,2008,Q2,2,2
07/01/2008,2008,Q3,3,-1.9
10/01/2008,2008,Q4,4,-8.2
01/01/2009,2009,Q1,1,-5.4
04/01/2009,2009,Q2,2,-0.5
07/01/2009,2009,Q3,3,1.3
10/01/2009,2009,Q4,4,3.9
01/01/2010,2010,Q1,1,1.7
04/01/2010,2010,Q2,2,3.9
07/01/2010,2010,Q3,3,2.7
10/01/2010,2010,Q4,4,2.5
01/01/2011,2011,Q1,1,-1.5
04/01/2011,2011,Q2,2,2.9
07/01/2011,2011,Q3,3,0.8
10/01/2011,2011,Q4,4,4.6
01/01/2012,2012,Q1,1,2.7
04/01/2012,2012,Q2,2,1.9
07/01/2012,2012,Q3,3,0.5
10/01/2012,2012,Q4,4,0.1
01/01/2013,2013,Q1,1,2.8
04/01/2013,2013,Q2,2,0.8
07/01/2013,2013,Q3,3,3.1
10/01/2013,2013,Q4,4,4
01/01/2014,2014,Q1,1,-0.9
04/01/2014,2014,Q2,2,4.6
07/01/2014,2014,Q3,3,5.2
10/01/2014,2014,Q4,4,2
01/01/2015,2015,Q1,1,3.2
04/01/2015,2015,Q2,2,2.7
07/01/2015,2015,Q3,3,1.6
10/01/2015,2015,Q4,4,0.5
01/01/2016,2016,Q1,1,0.6
04/01/2016,2016,Q2,2,2.2
07/01/2016,2016,Q3,3,2.8
10/01/2016,2016,Q4,4,1.8
01/01/2017,2017,Q1,1,1.2
04/01/2017,2017,Q2,2,3.1
07/01/2017,2017,Q3,3,3.2
