Year,NumTickets,TotBoxOffice,TotBoxInfAdj,AveTicket
2019,1239558665,11292382200.00,11292382290.00,9.11
2018,1311256847,11945552389.00,11945552568.00,9.11
2017,1225639438,10993988560.00,11165575309.00,8.97
2016,1301658904,11259352764.00,11858112611.00,8.65
2015,1323266320,11155138079.00,12054956180.00,8.43
2014,1257400618,10272966196.00,11454919630.00,8.17
2013,1339168926,10887446341.00,12199828924.00,8.13
2012,1381106440,10993610207.00,12581879666.00,7.96
2011,1282891721,10173333767.00,11687143588.00,7.93
2010,1328549023,10482254025.00,12103081605.00,7.89
2009,1418567388,10639257284.00,12923123576.00,7.5
2008,1358041408,9750739371.00,12371757232.00,7.18
2007,1420036680,9769854914.00,12936534157.00,6.88
2006,1398738283,9161738221.00,12742505757.00,6.55
2005,1372980280,8800805718.00,12507850352.00,6.41
2004,1495647988,9287975958.00,13625353184.00,6.21
2003,1524299815,9191529762.00,13886371327.00,6.03
2002,1576438339,9159108550.00,14361353263.00,5.81
2001,1476216078,8355384639.00,13448328468.00,5.66
2000,1397460079,7532311479.00,12730861331.00,5.39
1999,1444664086,7338894852.00,13160889827.00,5.08
1998,1443827003,6771549637.00,13153263987.00,4.69
1997,1385218935,6358155799.00,12619344508.00,4.59
1996,1305169274,5768848969.00,11890048751.00,4.42
1995,1221689691,5314350848.00,11129593086.00,4.35
