DATE,AutoSales
1/1/2010,240
2/1/2010,272.7
3/1/2010,375.2
4/1/2010,343.5
5/1/2010,389.7
6/1/2010,335.3
7/1/2010,336.8
8/1/2010,319.1
9/1/2010,305.6
10/1/2010,279.7
11/1/2010,256.3
12/1/2010,337.6
1/1/2011,258.6
2/1/2011,338.6
3/1/2011,445.3
4/1/2011,405.4
5/1/2011,362.2
6/1/2011,349
7/1/2011,329.5
8/1/2011,340.5
9/1/2011,327.5
10/1/2011,321
11/1/2011,304.9
12/1/2011,363.5
1/1/2012,323.4
2/1/2012,430.2
3/1/2012,528.1
4/1/2012,431.8
5/1/2012,491.1
6/1/2012,459.9
7/1/2012,393.3
8/1/2012,452.8
9/1/2012,412
10/1/2012,369.8
11/1/2012,382.7
12/1/2012,444.8
1/1/2013,383.9
2/1/2013,446.4
3/1/2013,544.5
4/1/2013,466.7
5/1/2013,519.4
6/1/2013,499.7
7/1/2013,446.9
8/1/2013,516.8
9/1/2013,383.1
10/1/2013,398
11/1/2013,406.6
12/1/2013,421.2
1/1/2014,344.2
2/1/2014,409.9
3/1/2014,534.3
4/1/2014,470.2
5/1/2014,564.6
6/1/2014,499.8
7/1/2014,480
8/1/2014,556.9
9/1/2014,414.5
10/1/2014,430.9
11/1/2014,428.8
12/1/2014,475.8
1/1/2015,386
2/1/2015,419.5
3/1/2015,525
4/1/2015,477.3
5/1/2015,563.2
6/1/2015,491.4
7/1/2015,481.7
8/1/2015,496.8
9/1/2015,446.6
10/1/2015,447.7
11/1/2015,387.8
12/1/2015,472.1
1/1/2016,361.4
2/1/2016,427.8
3/1/2016,502.6
4/1/2016,448.3
5/1/2016,468.8
6/1/2016,453.4
7/1/2016,437.7
8/1/2016,433.8
9/1/2016,420.5
10/1/2016,377.6
11/1/2016,375.7
12/1/2016,444.6
1/1/2017,308.9
2/1/2017,369.9
3/1/2017,447.9
4/1/2017,412.1
5/1/2017,435
6/1/2017,401.1
7/1/2017,377.4
8/1/2017,395.4
9/1/2017,408.1
10/1/2017,346.6
11/1/2017,342.6
12/1/2017,362.7
1/1/2018,278.4
